timestamps,frame_nr,left_glint1X,left_glint1Y,left_glint2X,left_glint2Y,left_pupilX,left_pupilY,right_glint1X,right_glint1Y,right_glint2X,right_glint2Y,right_pupilX,right_pupilY,pupil_area_left,pupil_area_right
1719823265.238345,1838,1802.690476190476,1508.404761904762,1787.8484848484848,1508.5,1801.586975097656,1485.5273056030271,1255.6504065040651,1520.2764227642276,1240.5357142857142,1520.6309523809523,1252.5809707641602,1494.530532836914,3971.676049860427,4972.417203461189
1719823265.2563958,1839,1802.495495495496,1508.4684684684685,1787.6666666666667,1508.5416666666667,1801.4195709228516,1485.4289093017578,1255.5528455284552,1520.2764227642276,1240.3076923076924,1520.679487179487,1252.4591674804688,1494.9594192504885,3901.866477145321,4953.556225893242
1719823265.2775395,1840,1802.2916666666667,1508.2583333333332,1787.6153846153843,1508.3205128205127,1801.218376159668,1485.743019104004,1255.4786324786326,1520.3675213675217,1240.287356321839,1520.7586206896551,1252.8347549438477,1495.245002746582,3898.437536241288,4342.602780224206
1719823265.2994275,1841,1802.3603603603603,1508.3603603603603,1787.5357142857142,1508.6309523809523,1801.56729888916,1485.5091857910156,1255.5528455284552,1520.2764227642276,1240.5,1520.7555555555557,1251.407730102539,1495.004997253418,3812.0576881653465,5035.134836322044
1719823265.3205924,1842,1802.3675213675208,1508.6324786324783,1787.5402298850574,1508.6666666666667,1801.2879486083984,1485.6566314697266,1255.7407407407406,1520.4074074074074,1240.5357142857142,1520.6309523809523,1252.6213455200195,1495.0239791870115,3898.9316166361655,4383.745075944753
1719823265.3436725,1843,1802.3603603603603,1508.6396396396397,1787.5,1508.7555555555557,1801.2575912475586,1485.6277160644531,1255.6201550387598,1520.3798449612402,1240.5357142857142,1520.6309523809523,1253.0417709350586,1494.907958984375,4030.9821523814176,4866.870685534321
1719823265.3661504,1844,1802.119047619048,1508.5238095238096,1787.3218390804598,1508.8735632183907,1800.9253158569336,1485.569091796875,1255.6201550387598,1520.3798449612402,1240.4367816091954,1520.83908045977,1252.4741287231443,1495.1536483764648,3986.029928817992,4496.911987566577
1719823265.3897414,1845,1802.1138211382115,1508.6747967479675,1787.0,1509.0,1800.806037902832,1485.746452331543,1255.5,1520.5,1240.5,1520.7555555555557,1252.2085418701172,1495.434051513672,4084.10608362664,4388.917849077116
1719823265.4169097,1846,1802.219298245614,1508.9298245614036,1787.1555555555556,1509.0,1801.2035903930664,1486.393669128418,1255.5528455284552,1520.4715447154472,1240.3086419753083,1520.8641975308642,1252.7434844970703,1495.1881256103516,4063.703175597957,4596.565108047729
1719823265.4349656,1847,1801.175,1509.575,1786.3434343434344,1509.888888888889,1800.2349319458008,1487.2525939941406,1254.651851851852,1521.148148148148,1239.927536231884,1521.5507246376812,1251.2863159179688,1496.820930480957,4012.10993322279,4571.476032934245
1719823265.457026,1848,1794.421052631579,1513.6666666666667,1779.5,1513.7555555555557,1788.8092880249023,1494.8476638793943,1250.4786324786326,1525.3675213675217,1235.7246376811595,1525.4057971014493,1242.334976196289,1504.6180572509766,4069.827836710104,4746.406947180706
1719823265.4839542,1849,1791.7956989247311,1515.9462365591398,1776.8533333333332,1516.1466666666668,1784.563735961914,1499.343719482422,1248.4301075268818,1527.784946236559,1233.2753623188405,1527.5942028985507,1238.1796188354492,1510.0761260986328,3862.190261858303,4948.449070120711
1719823265.5048952,1850,1792.0,1516.0,1777.076923076923,1516.1153846153843,1784.5051727294922,1499.3226699829102,1248.0967741935483,1527.9462365591398,1233.079365079365,1527.5555555555557,1238.3580474853516,1509.8695220947266,3910.644609728794,4853.0433643425495
1719823265.5236242,1851,1792.0,1516.0,1777.2738095238096,1516.071428571429,1784.7557678222656,1499.449234008789,1247.8641975308642,1527.8271604938273,1233.076923076923,1527.7948717948718,1238.2021865844729,1510.3041458129885,4368.109783704026,4797.483406898052
1719823265.546368,1852,1792.3218390804598,1516.1264367816093,1777.642857142857,1516.190476190476,1784.531379699707,1500.5757446289062,1247.6565656565656,1527.888888888889,1232.9333333333334,1527.6933333333334,1237.918556213379,1510.221450805664,4601.495026279572,4778.389421685566
1719823265.5684876,1853,1792.462365591398,1516.1827956989248,1777.642857142857,1516.190476190476,1784.609390258789,1499.8169403076172,1247.6176470588234,1527.9411764705883,1232.7575757575758,1527.8181818181818,1237.2832260131836,1510.1400527954102,3876.6722004836897,4712.199058806722
1719823265.5902998,1854,1792.5,1516.2444444444443,1777.7948717948718,1516.2051282051282,1784.6584930419922,1500.2445526123047,1247.4117647058824,1528.0882352941176,1232.3086419753083,1527.8641975308642,1237.2201919555664,1510.177993774414,4014.609592252148,4872.9146248743
1719823265.61326,1855,1792.642857142857,1516.190476190476,1777.927536231884,1516.2898550724638,1784.9263458251953,1501.2638854980469,1247.2843137254902,1528.0588235294117,1232.1153846153843,1527.923076923077,1236.8117370605469,1509.9015426635742,4564.419540955671,4722.520160734891
1719823265.6353197,1856,1792.137254901961,1515.764705882353,1777.2456140350878,1515.6140350877192,1783.7200164794922,1499.3149185180664,1246.8290598290598,1527.111111111111,1232.017543859649,1527.3333333333333,1235.887351989746,1508.5189819335938,4651.5263476575,4954.254224924092
1719823265.656927,1857,1792.2043010752689,1515.0537634408602,1777.4313725490197,1515.4313725490197,1784.1680526733398,1498.808853149414,1246.861111111111,1526.9444444444443,1232.072463768116,1526.9710144927535,1236.4701309204102,1508.5135040283203,4580.2551135983085,4936.160582405815
1719823265.6799169,1858,1792.5353535353536,1515.3434343434344,1777.6315789473683,1515.3859649122808,1783.9822006225586,1498.2664642333984,1247.0,1527.0,1232.1,1527.15,1236.5591278076172,1508.4105987548828,4105.4795523155735,4872.826972659851
1719823265.700977,1859,1792.6666666666667,1515.3333333333333,1777.7843137254902,1515.372549019608,1784.5866317749023,1499.0943069458008,1246.888888888889,1526.9166666666667,1232.0,1527.0,1236.6768951416016,1508.574478149414,4728.690842297004,4995.640020147827
1719823265.7231095,1860,1793.0,1515.111111111111,1778.0,1515.5,1784.7638778686523,1498.358367919922,1246.8198198198197,1526.990990990991,1232.0,1527.15,1236.672737121582,1508.5757064819336,4478.835054027222,4883.985809490493
1719823265.7452226,1861,1793.1555555555556,1515.0,1778.2962962962963,1515.3148148148148,1784.980926513672,1498.3001403808594,1246.957264957265,1527.042735042735,1232.0,1527.0,1236.4636611938477,1509.0095901489258,4181.8602035211725,5007.359042211038
1719823265.7752657,1862,1793.2043010752689,1515.0537634408602,1778.5,1515.3541666666667,1785.0830688476562,1498.2348556518557,1247.0,1527.0,1232.0,1527.0,1236.1717834472656,1507.995979309082,4097.4868390863685,4846.457064387028
